K-12,HM43_UR,HM43_UTI,HM43_LB,HM43_mouse,HM56_UTI,HM56_LB,HM56_UR,HM56_mouse,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
b2802,894.0,223.0,628.0,471.0,90.0,504.0,1481.0,639.0,526.0,2462.0,17.0,1088.0
b3680,1057.0,44.0,421.0,46.0,85.0,1607.0,4927.0,389.0,672.0,1363.0,34.0,173.0
b1038,259.0,11.0,484.0,26.0,3.0,926.0,937.0,60.0,182.0,111.0,5.0,35.0
b0193,200.0,123.0,249.0,90.0,227.0,376.0,475.0,139.0,336.0,694.0,85.0,109.0
b4470,40900.0,1256.0,611.0,1655.0,1004.0,470.0,34450.0,1038.0,1220.0,61579.0,768.0,4003.0
b1915,848.0,1233.0,2604.0,223.0,2538.0,6683.0,1525.0,287.0,7923.0,2057.0,1155.0,1479.0
b0822,5322.0,443.0,2765.0,107.0,893.0,4086.0,12796.0,1128.0,2885.0,7076.0,270.0,531.0
b0945,182.0,580.0,5118.0,169.0,2010.0,10188.0,1473.0,1081.0,9047.0,2053.0,1032.0,1164.0
b2820,3008.0,1051.0,7243.0,520.0,3279.0,21019.0,22693.0,2679.0,12448.0,17910.0,1017.0,2517.0
b2830,6607.0,659.0,6615.0,441.0,965.0,7395.0,9594.0,1697.0,6910.0,9071.0,453.0,1921.0
